                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.42181,                0.56513,                0.92295,                0.68979,                0.74089,                0.77931,                0.69113,                0.43495,                 1.0473,                0.90623,             0.00066005,             0.00066005,             0.00066005
                     85,                0.43253,                0.57321,                0.92754,                0.85614,                  0.732,                0.85451,                0.80734,                0.38856,                0.75989,                0.88053,             0.00065455,             0.00065455,             0.00065455
                     86,                0.43239,                0.58856,                0.92704,                0.89995,                0.80006,                0.88258,                0.81574,                0.39046,                0.72687,                 0.8802,             0.00064905,             0.00064905,             0.00064905
                     87,                0.43846,                0.58169,                0.92707,                0.78722,                0.67249,                 0.8385,                0.78216,                0.39739,                 1.0006,                0.88294,             0.00064355,             0.00064355,             0.00064355
                     88,                0.43044,                0.55385,                0.91178,                0.56897,                0.75429,                0.71471,                0.67255,                0.40216,                 1.1504,                0.88142,             0.00063805,             0.00063805,             0.00063805
                     89,                0.42933,                0.56594,                  0.919,                0.79417,                0.57563,                0.76355,                0.69732,                0.42974,                 1.5043,                 0.8768,             0.00063255,             0.00063255,             0.00063255
                     90,                0.41916,                0.53123,                0.92044,                0.70437,                0.66425,                0.74064,                0.70187,                0.35328,                  1.455,                0.86281,             0.00062705,             0.00062705,             0.00062705
                     91,                0.41047,                0.56196,                0.91799,                0.52668,                   0.66,                0.58619,                0.54818,                0.42467,                 2.1119,                0.91306,             0.00062155,             0.00062155,             0.00062155
                     92,                0.41513,                 0.5684,                0.91693,                0.84484,                0.79078,                 0.8412,                0.80427,                0.36392,                 0.8219,                0.85834,             0.00061605,             0.00061605,             0.00061605
                     93,                0.41512,                0.54868,                0.91248,                0.64002,                0.69291,                0.81206,                0.76078,                0.37678,                 1.1502,                 0.8727,             0.00061055,             0.00061055,             0.00061055
                     94,                0.39619,                0.51872,                0.91139,                0.83301,                0.84317,                0.92277,                0.86308,                0.36359,                0.71721,                0.87231,             0.00060505,             0.00060505,             0.00060505
                     95,                0.41471,                0.53644,                0.91424,                0.74428,                0.80649,                0.79364,                 0.7443,                0.39027,                 1.2358,                0.87559,             0.00059955,             0.00059955,             0.00059955
                     96,                0.41231,                0.52914,                0.91805,                0.68074,                0.84292,                0.85269,                  0.794,                0.36854,                0.96358,                0.87834,             0.00059405,             0.00059405,             0.00059405
                     97,                0.39791,                0.52814,                0.91021,                0.69234,                0.78808,                0.83481,                0.78752,                0.38182,                0.91044,                0.86795,             0.00058855,             0.00058855,             0.00058855
                     98,                0.41423,                0.52909,                 0.9217,                0.70585,                0.72064,                0.67549,                0.62228,                 0.4515,                 1.2286,                0.90966,             0.00058305,             0.00058305,             0.00058305
                     99,                0.41058,                0.53389,                0.92243,                0.76793,                0.76119,                0.80012,                 0.7424,                0.41482,                0.95657,                0.91963,             0.00057755,             0.00057755,             0.00057755
                    100,                0.40902,                0.52705,                0.91815,                0.71251,                 0.7892,                0.78124,                0.73002,                0.38044,                 1.0579,                0.87023,             0.00057205,             0.00057205,             0.00057205
