                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.43468,                0.62189,                0.92402,                 0.8408,                0.73139,                0.83388,                0.75998,                0.41023,                0.84317,                0.90574,             0.00066005,             0.00066005,             0.00066005
                     85,                0.42707,                 0.6021,                0.92279,                0.62586,                0.83343,                0.78286,                0.72749,                0.36652,                 1.0571,                0.86266,             0.00065455,             0.00065455,             0.00065455
                     86,                0.42771,                0.59167,                0.92561,                0.84286,                0.84483,                0.92259,                0.88041,                0.36695,                0.68588,                0.86154,             0.00064905,             0.00064905,             0.00064905
                     87,                0.43259,                0.59521,                0.91859,                0.68893,                0.85798,                  0.887,                0.83573,                0.37603,                0.85488,                0.87287,             0.00064355,             0.00064355,             0.00064355
                     88,                0.41969,                0.59553,                0.92372,                0.79908,                 0.7415,                0.79564,                0.73665,                0.42995,                 1.2154,                0.87595,             0.00063805,             0.00063805,             0.00063805
                     89,                0.42473,                 0.5669,                0.92113,                   0.77,                0.73783,                0.85386,                0.79394,                0.41989,                 0.7919,                0.91108,             0.00063255,             0.00063255,             0.00063255
                     90,                0.42968,                0.57906,                 0.9198,                0.71172,                0.84477,                 0.8532,                0.76607,                0.45858,                0.78868,                0.91256,             0.00062705,             0.00062705,             0.00062705
                     91,                0.44351,                0.59409,                0.92604,                0.63363,                   0.76,                   0.74,                0.67964,                0.47809,                 1.1118,                0.91951,             0.00062155,             0.00062155,             0.00062155
                     92,                0.42254,                0.57992,                0.92338,                  0.799,                0.84025,                0.85817,                0.80191,                0.37369,                0.75974,                0.87321,             0.00061605,             0.00061605,             0.00061605
                     93,                0.42401,                0.57977,                0.92472,                0.86887,                0.71676,                0.87536,                0.81572,                0.37407,                0.77018,                0.85828,             0.00061055,             0.00061055,             0.00061055
                     94,                0.42152,                0.57179,                0.91968,                0.86692,                0.74372,                0.87063,                0.81283,                0.35378,                0.87085,                0.86111,             0.00060505,             0.00060505,             0.00060505
                     95,                0.42265,                0.56331,                0.91742,                0.66096,                0.82786,                0.85077,                0.80627,                0.34581,                0.96296,                0.86273,             0.00059955,             0.00059955,             0.00059955
                     96,                0.40954,                 0.5486,                0.92216,                0.76629,                0.82483,                0.86783,                0.78917,                0.44551,                 0.6913,                0.88154,             0.00059405,             0.00059405,             0.00059405
                     97,                0.43873,                0.57095,                0.92546,                0.76413,                0.79624,                0.83492,                0.79199,                0.36678,                0.77646,                0.85967,             0.00058855,             0.00058855,             0.00058855
                     98,                0.42189,                0.54242,                0.91935,                0.74469,                0.86711,                0.89185,                0.85271,                0.35014,                0.74391,                0.86164,             0.00058305,             0.00058305,             0.00058305
                     99,                0.41058,                 0.5352,                0.91672,                0.89161,                0.76271,                0.87145,                0.81474,                0.40469,                 0.7063,                 0.8722,             0.00057755,             0.00057755,             0.00057755
                    100,                0.41453,                0.53804,                0.91728,                0.89331,                0.83229,                0.91393,                0.85787,                0.39932,                0.65529,                0.86256,             0.00057205,             0.00057205,             0.00057205
                    101,                0.40932,                0.52322,                0.91622,                0.76071,                0.90628,                0.89199,                0.84709,                0.35321,                0.61049,                0.85688,             0.00056655,             0.00056655,             0.00056655
                    102,                 0.4137,                0.51802,                0.91971,                0.88153,                0.85488,                0.91756,                0.86308,                0.37453,                0.61703,                0.86785,             0.00056105,             0.00056105,             0.00056105
                    103,                 0.4087,                0.50845,                0.92008,                0.88766,                0.85527,                0.87784,                0.83529,                0.33459,                 0.6146,                0.85018,             0.00055556,             0.00055556,             0.00055556
                    104,                 0.4026,                0.49399,                0.91186,                0.82081,                0.84785,                0.91385,                0.86243,                 0.3664,                0.61143,                0.85476,             0.00055006,             0.00055006,             0.00055006
                    105,                0.39595,                0.50489,                0.91425,                0.78059,                0.62058,                0.81512,                0.76905,                0.36463,                0.89561,                0.87162,             0.00054456,             0.00054456,             0.00054456
                    106,                0.40568,                0.53415,                0.91916,                 0.8862,                 0.7907,                0.90735,                0.85732,                0.34235,                0.68711,                0.86324,             0.00053906,             0.00053906,             0.00053906
                    107,                0.41573,                0.49714,                0.91607,                0.79242,                0.70251,                0.80155,                0.75503,                0.36588,                  1.062,                0.87803,             0.00053356,             0.00053356,             0.00053356
                    108,                 0.4037,                0.49364,                0.91398,                0.91371,                 0.7672,                0.89042,                0.85602,                0.35148,                0.75585,                0.88256,             0.00052806,             0.00052806,             0.00052806
                    109,                 0.3929,                0.51585,                0.91329,                0.73288,                0.79821,                0.81537,                0.68793,                 0.4626,                 1.1991,                 0.9756,             0.00052256,             0.00052256,             0.00052256
                    110,                0.39683,                0.48298,                0.91389,                0.75269,                0.67383,                0.69461,                0.64366,                0.41426,                 1.2633,                0.91205,             0.00051706,             0.00051706,             0.00051706
                    111,                0.40601,                0.49015,                0.91455,                0.88045,                0.82062,                0.89073,                0.83185,                0.36969,                0.67166,                 0.8716,             0.00051156,             0.00051156,             0.00051156
                    112,                0.39428,                 0.4951,                0.91161,                0.72589,                0.83594,                0.83117,                0.78352,                0.35903,                0.78499,                0.86459,             0.00050606,             0.00050606,             0.00050606
                    113,                0.40165,                0.48126,                0.91939,                0.86236,                0.79875,                0.87275,                0.80861,                0.41453,                0.79138,                0.93855,             0.00050056,             0.00050056,             0.00050056
                    114,                0.39516,                0.47608,                0.91519,                0.88623,                0.84643,                0.88619,                0.83717,                0.34089,                0.61743,                0.86135,             0.00049506,             0.00049506,             0.00049506
                    115,                 0.3927,                0.47744,                0.91134,                0.88866,                0.83431,                0.92676,                0.86729,                0.37709,                0.59324,                0.85901,             0.00048956,             0.00048956,             0.00048956
                    116,                 0.3811,                0.45229,                0.90573,                0.88351,                  0.731,                0.88045,                0.84202,                0.35505,                0.79306,                0.85819,             0.00048406,             0.00048406,             0.00048406
                    117,                0.38927,                0.47532,                0.90936,                  0.769,                0.88889,                0.88526,                0.84272,                0.35249,                0.59318,                0.85661,             0.00047856,             0.00047856,             0.00047856
                    118,                0.38582,                0.45125,                 0.9062,                0.86915,                0.84954,                0.92541,                0.87018,                0.36951,                0.57167,                0.86116,             0.00047306,             0.00047306,             0.00047306
                    119,                0.38645,                 0.4521,                0.90964,                0.75529,                0.75815,                0.82803,                0.78128,                0.36565,                0.89351,                0.86743,             0.00046756,             0.00046756,             0.00046756
                    120,                 0.3823,                0.46626,                 0.9076,                0.91163,                0.81766,                0.92476,                0.87717,                0.33309,                0.62617,                0.84202,             0.00046206,             0.00046206,             0.00046206
                    121,                0.37421,                0.44189,                0.90218,                0.89441,                0.86534,                0.93111,                0.88338,                0.33124,                0.47732,                 0.8473,             0.00045657,             0.00045657,             0.00045657
                    122,                0.38547,                0.44899,                0.91137,                 0.7447,                0.70111,                0.85965,                0.80894,                0.37663,                 1.0111,                0.85653,             0.00045107,             0.00045107,             0.00045107
                    123,                0.38705,                0.44496,                0.90815,                  0.884,                   0.86,                0.88788,                0.84404,                0.33709,                0.60332,                0.84042,             0.00044557,             0.00044557,             0.00044557
                    124,                0.38045,                0.44868,                0.90953,                0.92503,                0.82385,                0.88864,                0.86169,                 0.3243,                0.70632,                0.84349,             0.00044007,             0.00044007,             0.00044007
                    125,                0.37916,                0.44305,                0.91115,                0.90916,                0.83629,                 0.8701,                0.84083,                0.33132,                0.62953,                0.84665,             0.00043457,             0.00043457,             0.00043457
                    126,                0.38145,                0.44012,                 0.9092,                0.91391,                 0.8528,                0.93892,                0.88479,                0.35134,                0.60131,                0.85521,             0.00042907,             0.00042907,             0.00042907
                    127,                0.37255,                0.42699,                0.90453,                0.81101,                0.86997,                0.88788,                0.85104,                0.34004,                0.64253,                0.85216,             0.00042357,             0.00042357,             0.00042357
                    128,                0.37458,                0.41725,                0.91294,                0.90024,                0.70944,                0.87108,                 0.8326,                0.33579,                0.77176,                0.84432,             0.00041807,             0.00041807,             0.00041807
                    129,                0.36561,                0.41889,                0.90341,                0.92291,                0.80802,                0.92108,                0.86588,                0.34929,                0.66316,                0.85904,             0.00041257,             0.00041257,             0.00041257
